epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,94.5706,1.42869,1.68149,1.58869,0.35489,1,0.70893,0.25085,2.07024,1.53233,2.25305,0.0007328,0.0007328,0.0007328
66,95.951,1.50073,1.63393,1.6633,0.31702,1,0.68863,0.2454,2.11163,1.50931,2.3047,0.000713,0.000713,0.000713
67,97.2899,1.46148,1.54454,1.55178,0.37571,0.94737,0.70814,0.25115,2.11842,1.50243,2.31392,0.0006932,0.0006932,0.0006932
68,98.6501,1.53806,1.68973,1.68197,0.42919,0.94737,0.74656,0.28334,2.03314,1.50229,2.21915,0.0006734,0.0006734,0.0006734
69,99.9391,1.50146,1.66802,1.73816,0.38521,0.84211,0.77437,0.24511,2.00456,1.53021,2.20057,0.0006536,0.0006536,0.0006536
70,101.265,1.5057,1.6827,1.62431,0.38774,0.78947,0.74517,0.24064,2.00083,1.56533,2.22715,0.0006338,0.0006338,0.0006338
71,102.608,1.37178,1.61657,1.61022,0.35991,0.73684,0.67341,0.21747,2.02269,1.58138,2.25226,0.000614,0.000614,0.000614
72,103.957,1.40974,1.58646,1.64896,0.35811,0.94737,0.78202,0.25966,1.98017,1.586,2.18886,0.0005942,0.0005942,0.0005942
73,105.276,1.44693,1.6535,1.66979,0.31502,0.94737,0.78499,0.25012,1.96895,1.59336,2.17098,0.0005744,0.0005744,0.0005744
74,106.56,1.46002,1.60542,1.67093,0.29765,0.89474,0.70924,0.29038,1.93801,1.62967,2.1382,0.0005546,0.0005546,0.0005546
75,107.968,1.4765,1.6656,1.68242,0.29747,0.89474,0.67196,0.25999,1.94737,1.6295,2.14462,0.0005348,0.0005348,0.0005348
76,109.385,1.41747,1.56967,1.55574,0.49734,1,0.69064,0.26353,1.99548,1.59225,2.19862,0.000515,0.000515,0.000515
77,110.689,1.47791,1.64551,1.65489,0.3444,0.84211,0.64824,0.25167,2.0113,1.60564,2.22119,0.0004952,0.0004952,0.0004952
78,112.055,1.48007,1.57189,1.64672,0.25128,0.89474,0.62535,0.23135,2.0364,1.59519,2.23445,0.0004754,0.0004754,0.0004754
79,113.369,1.48485,1.60642,1.6451,0.24239,0.94737,0.60299,0.20754,2.06351,1.55718,2.26198,0.0004556,0.0004556,0.0004556
80,114.744,1.52198,1.64326,1.6606,0.43695,0.94737,0.65904,0.2322,2.06443,1.49864,2.26314,0.0004358,0.0004358,0.0004358
81,116.094,1.49969,1.5773,1.64168,0.32347,0.68421,0.60091,0.22281,2.06433,1.49824,2.26236,0.000416,0.000416,0.000416
82,117.51,1.53368,1.60853,1.70978,0.28024,0.84211,0.56545,0.23688,2.05972,1.49241,2.2466,0.0003962,0.0003962,0.0003962
83,118.93,1.40204,1.51876,1.61224,0.33876,0.68421,0.54544,0.23199,2.06431,1.51214,2.24345,0.0003764,0.0003764,0.0003764
84,120.367,1.43363,1.62239,1.66613,0.32294,0.78947,0.66042,0.28911,2.06449,1.51837,2.265,0.0003566,0.0003566,0.0003566
85,121.659,1.45562,1.61291,1.61967,0.36492,0.73684,0.65295,0.28868,2.05359,1.52613,2.27184,0.0003368,0.0003368,0.0003368
86,123.012,1.40205,1.58145,1.62299,0.33332,1,0.68713,0.28318,2.04005,1.55558,2.26388,0.000317,0.000317,0.000317
87,124.377,1.49861,1.60639,1.71159,0.35554,0.94737,0.69065,0.30615,2.02753,1.55573,2.24952,0.0002972,0.0002972,0.0002972
88,125.74,1.33749,1.62864,1.58667,0.3188,0.93616,0.63707,0.27576,2.00057,1.5881,2.23345,0.0002774,0.0002774,0.0002774
89,127.092,1.48084,1.63141,1.71154,0.35075,0.89474,0.61817,0.25427,1.98096,1.59589,2.21992,0.0002576,0.0002576,0.0002576
90,128.381,1.45218,1.72136,1.65648,0.36029,0.89474,0.59777,0.23017,1.98724,1.60478,2.21993,0.0002378,0.0002378,0.0002378
91,137.646,1.56467,1.9632,1.86192,0.31979,0.94737,0.60129,0.22494,1.96998,1.62977,2.21455,0.000218,0.000218,0.000218
92,138.938,1.55441,1.88661,1.91188,0.31561,0.94737,0.65193,0.24678,1.94014,1.66076,2.20585,0.0001982,0.0001982,0.0001982
93,140.252,1.54942,1.86057,1.93089,0.31542,0.94737,0.61217,0.22979,1.93696,1.66742,2.21432,0.0001784,0.0001784,0.0001784
94,141.586,1.5447,1.76897,1.94982,0.31527,0.94737,0.60871,0.22131,1.94006,1.6593,2.22445,0.0001586,0.0001586,0.0001586
95,142.956,1.47575,1.80253,1.86863,0.3151,0.94737,0.63997,0.2412,1.94703,1.64644,2.24015,0.0001388,0.0001388,0.0001388
96,144.246,1.46826,1.74163,1.8665,0.46304,0.94737,0.73557,0.22478,1.9699,1.64203,2.27295,0.000119,0.000119,0.000119
97,145.596,1.52021,1.76119,1.91435,0.46262,0.94737,0.7255,0.21447,1.97654,1.64876,2.28017,9.92e-05,9.92e-05,9.92e-05
98,146.899,1.51073,1.70629,1.85894,0.43603,0.89474,0.65511,0.22781,1.98094,1.66406,2.2818,7.94e-05,7.94e-05,7.94e-05
99,148.192,1.53745,1.72135,1.91224,0.41398,0.94737,0.70403,0.20917,1.97919,1.67702,2.27722,5.96e-05,5.96e-05,5.96e-05
100,149.46,1.57148,1.79624,1.96404,0.32496,0.94737,0.73357,0.22512,1.97383,1.68382,2.26732,3.98e-05,3.98e-05,3.98e-05
